epoch,train_loss_all,val_loss_all,train_acc_all,val_acc_all
261,0.17355658113956451,0.16254531621932983,0.9846875,0.984375
262,0.1718580786883831,0.1699042284488678,0.984375,0.980625
263,0.17424526661634446,0.15462458193302153,0.98328125,0.985625
264,0.17138804435729982,0.15853113055229187,0.9846875,0.984375
265,0.17361319914460183,0.1538353854417801,0.9809375,0.986875
266,0.17414300307631492,0.15322002470493318,0.983125,0.98625
267,0.1726428072154522,0.16164325416088104,0.98296875,0.9825
268,0.16996002763509752,0.1529513430595398,0.98359375,0.988125
269,0.17482931524515152,0.15156997978687287,0.980625,0.98625
270,0.16730650782585144,0.1519322669506073,0.98390625,0.986875
271,0.17040086656808853,0.1540301549434662,0.98359375,0.986875
272,0.16600411757826805,0.15196896493434905,0.98421875,0.986875
273,0.17092031180858613,0.15067393004894256,0.98171875,0.9875
274,0.16613998934626578,0.1508877009153366,0.98359375,0.986875
275,0.16849006339907646,0.15348820507526398,0.98359375,0.985625
276,0.1657225540280342,0.1461719760298729,0.9828125,0.9875
277,0.1657501232624054,0.14679408729076385,0.98390625,0.98625
278,0.17529172137379645,0.1456039774417877,0.97859375,0.98625
279,0.16659389957785606,0.1465154418349266,0.9828125,0.988125
280,0.171333492398262,0.14393124133348464,0.9815625,0.988125
281,0.17086811751127243,0.14797772586345673,0.98140625,0.9875
282,0.16161391124129296,0.14504764080047608,0.9840625,0.986875
283,0.16133862167596816,0.15117978751659394,0.985625,0.98375
284,0.16801306039094924,0.14813591480255128,0.9828125,0.986875
285,0.16526007309556007,0.1414635196328163,0.9815625,0.986875
286,0.16418195992708207,0.14258952260017396,0.981875,0.988125
287,0.16561024844646455,0.14324225783348082,0.97953125,0.9875
288,0.16380312725901602,0.14506325602531434,0.9834375,0.986875
289,0.16001480981707572,0.15437219440937042,0.98375,0.98125
290,0.15833659440279008,0.15237107396125793,0.9853125,0.981875
291,0.15962914377450943,0.14489995449781418,0.9834375,0.988125
292,0.16000046625733375,0.13938150078058242,0.98375,0.988125
293,0.16120618015527724,0.14036874562501908,0.98265625,0.988125
294,0.15697813346982004,0.1443360650539398,0.984375,0.985625
295,0.16174250110983848,0.13917706161737442,0.983125,0.9875
296,0.16209740772843362,0.1391904628276825,0.9828125,0.98625
297,0.15326580554246902,0.14836359322071074,0.9853125,0.983125
298,0.154978256970644,0.13682147830724717,0.9840625,0.988125
299,0.1535191710293293,0.13750967115163804,0.9865625,0.988125
300,0.15811599433422088,0.14260191202163697,0.98390625,0.98375
301,0.15922101065516472,0.14729262083768846,0.980625,0.98625
302,0.150030607432127,0.13701702505350113,0.98640625,0.988125
303,0.1516059595346451,0.13755386263132097,0.9853125,0.9875
304,0.15480655670166016,0.14071687787771225,0.984375,0.9825
305,0.15187509909272193,0.13862007349729538,0.98375,0.9875
306,0.1562739798426628,0.13599031031131745,0.985,0.98625
307,0.15102719485759736,0.13446662217378616,0.9853125,0.9875
308,0.14979939565062522,0.13391667127609252,0.98390625,0.9875
309,0.1483354613184929,0.13507516860961913,0.985,0.9875
310,0.1539066994190216,0.13249165534973145,0.98328125,0.988125
311,0.14722829431295395,0.1328156816959381,0.98625,0.9875
312,0.14877270340919493,0.1289403161406517,0.9840625,0.988125
313,0.1467055131494999,0.13326825261116026,0.98609375,0.988125
314,0.14871558889746667,0.12944126307964324,0.9853125,0.98875
315,0.1489379160106182,0.13802915573120117,0.98359375,0.98375
316,0.14748732075095178,0.13074721574783324,0.98515625,0.986875
317,0.14499187648296355,0.12948061794042587,0.98515625,0.988125
318,0.14789024278521537,0.14260763466358184,0.98625,0.9825
319,0.1454163348674774,0.12718177378177642,0.98546875,0.9875
320,0.14701764523983002,0.13630275189876556,0.985625,0.985625
321,0.14982702016830443,0.1324501031637192,0.9825,0.9875
322,0.14950796946883202,0.1324025422334671,0.98375,0.986875
323,0.1438799673318863,0.13350390493869782,0.9840625,0.983125
324,0.1430830827355385,0.12673449456691743,0.98546875,0.988125
325,0.14179615676403046,0.12725201040506362,0.9859375,0.98875
326,0.14257097765803337,0.13815177023410796,0.9846875,0.981875
327,0.13772529751062393,0.13777066260576248,0.98875,0.983125
328,0.1446780766546726,0.13500499337911606,0.98359375,0.983125
329,0.140953232049942,0.12338815122842789,0.98515625,0.988125
330,0.14150615751743317,0.12472575515508652,0.98640625,0.988125
331,0.1451835511624813,0.12237882018089294,0.98375,0.988125
332,0.13823663100600242,0.12400698781013489,0.9853125,0.989375
333,0.13429269686341286,0.12443624675273895,0.98703125,0.9875
334,0.13734042778611183,0.12739891618490218,0.985625,0.985625
335,0.13883914172649384,0.1251582223176956,0.985625,0.989375
336,0.14154952585697175,0.12753019392490386,0.98328125,0.986875
337,0.1410211929678917,0.14412782371044158,0.98390625,0.98
338,0.13712116658687593,0.12305550932884217,0.9865625,0.986875
339,0.1387629035115242,0.12272946268320084,0.98546875,0.98875
340,0.13677485644817353,0.13450918227434158,0.9853125,0.983125
341,0.1350941377878189,0.11933565884828568,0.9840625,0.988125
342,0.13762729346752167,0.11903291523456573,0.985,0.989375
343,0.13752037391066552,0.12404138177633285,0.9846875,0.9875
344,0.13770724669098855,0.1264438048005104,0.98421875,0.985625
345,0.1350485275685787,0.11904898822307587,0.985625,0.988125
346,0.1354812528192997,0.1157811200618744,0.98625,0.988125
347,0.13317540526390076,0.1186079317331314,0.9865625,0.988125
348,0.13399776503443717,0.11812910437583923,0.9859375,0.98875
349,0.13598131090402604,0.12112726151943207,0.985,0.985625
350,0.13195686265826226,0.12012496769428253,0.98625,0.9875
351,0.1348269310593605,0.1296510034799576,0.98359375,0.983125
